subject,exclude,no_disambiguation_benefit,duration,block_type,disambiguation,rt,dprime
55707,FALSE,FALSE,33.33,intact,disambiguated,0.374583333,1.73213124
55707,FALSE,FALSE,33.33,intact,undisambiguated,0.346333333,0.333982374
55707,FALSE,FALSE,33.33,mooney,disambiguated,0.356833333,-0.202711892
55707,FALSE,FALSE,33.33,mooney,undisambiguated,0.445083333,0.589455798
55707,FALSE,FALSE,100,intact,disambiguated,0.324958333,3.004255698
55707,FALSE,FALSE,100,intact,undisambiguated,0.377041667,4.073668263
55707,FALSE,FALSE,100,mooney,disambiguated,0.308,2.023946117
55707,FALSE,FALSE,100,mooney,undisambiguated,0.31225,2.467561431
55707,FALSE,FALSE,300,intact,disambiguated,0.311666667,3.257474481
55707,FALSE,FALSE,300,intact,undisambiguated,0.339958333,4.073668263
55707,FALSE,FALSE,300,mooney,disambiguated,0.392083333,3.004255698
55707,FALSE,FALSE,300,mooney,undisambiguated,0.270166667,3.004255698
55707,FALSE,FALSE,900,intact,disambiguated,0.393041667,4.073668263
55707,FALSE,FALSE,900,intact,undisambiguated,0.373666667,4.073668263
55707,FALSE,FALSE,900,mooney,disambiguated,0.454625,1.593218818
55707,FALSE,FALSE,900,mooney,undisambiguated,0.427833333,4.073668263
55708,TRUE,FALSE,33.33,intact,disambiguated,0.462666667,2.560640384
55708,TRUE,FALSE,33.33,intact,undisambiguated,0.333958333,1.651367648
55708,TRUE,FALSE,33.33,mooney,disambiguated,0.611416667,1.398148865
55708,TRUE,FALSE,33.33,mooney,undisambiguated,0.475,1.934843132
55708,TRUE,FALSE,100,intact,disambiguated,0.459375,3.63005295
55708,TRUE,FALSE,100,intact,undisambiguated,0.423666667,3.63005295
55708,TRUE,FALSE,100,mooney,disambiguated,0.844,0.430727299
55708,TRUE,FALSE,100,mooney,undisambiguated,2.454375,1.556877364
55708,TRUE,FALSE,300,intact,disambiguated,0.781041667,4.073668263
55708,TRUE,FALSE,300,intact,undisambiguated,0.577416667,4.073668263
55708,TRUE,FALSE,300,mooney,disambiguated,0.412416667,1.593218818
55708,TRUE,FALSE,300,mooney,undisambiguated,0.538708333,0
55708,TRUE,FALSE,900,intact,disambiguated,0.408291667,3.004255698
55708,TRUE,FALSE,900,intact,undisambiguated,0.383166667,3.004255698
55708,TRUE,FALSE,900,mooney,disambiguated,36.79329167,3.004255698
55708,TRUE,FALSE,900,mooney,undisambiguated,0.51375,0.78991305
55714,TRUE,FALSE,33.33,intact,disambiguated,0.4975,0.291017
55714,TRUE,FALSE,33.33,intact,undisambiguated,0.488083333,-0.139710299
55714,TRUE,FALSE,33.33,mooney,disambiguated,0.527375,1.754617985
55714,TRUE,FALSE,33.33,mooney,undisambiguated,0.4625,0.967421566
55714,TRUE,FALSE,100,intact,disambiguated,0.434708333,1.651367648
55714,TRUE,FALSE,100,intact,undisambiguated,0.41125,2.801543805
55714,TRUE,FALSE,100,mooney,disambiguated,0.480416667,1.398148865
55714,TRUE,FALSE,100,mooney,undisambiguated,0.409416667,0.712943446
55714,TRUE,FALSE,300,intact,disambiguated,0.429916667,4.073668263
55714,TRUE,FALSE,300,intact,undisambiguated,0.406083333,4.073668263
55714,TRUE,FALSE,300,mooney,disambiguated,0.352291667,2.023946117
55714,TRUE,FALSE,300,mooney,undisambiguated,0.394,3.004255698
55714,TRUE,FALSE,900,intact,disambiguated,0.689,3.63005295
55714,TRUE,FALSE,900,intact,undisambiguated,0.903125,2.188061915
55714,TRUE,FALSE,900,mooney,disambiguated,0.657833333,1.651367648
55714,TRUE,FALSE,900,mooney,undisambiguated,0.688583333,2.188061915
55715,FALSE,TRUE,33.33,intact,disambiguated,0.514666667,1.195436973
55715,FALSE,TRUE,33.33,intact,undisambiguated,0.338333333,0.967421566
