subject,exclude,no_disambiguation_benefit,intact_disambiguated_33.33,intact_undisambiguated_33.33,mooney_disambiguated_33.33,mooney_undisambiguated_33.33,intact_disambiguated_100,intact_undisambiguated_100,mooney_disambiguated_100,mooney_undisambiguated_100,intact_disambiguated_300,intact_undisambiguated_300,mooney_disambiguated_300,mooney_undisambiguated_300,intact_disambiguated_900,intact_undisambiguated_900,mooney_disambiguated_900,mooney_undisambiguated_900
55707,FALSE,FALSE,1.73213124,0.333982374,-0.202711892,0.589455798,3.004255698,4.073668263,2.023946117,2.467561431,3.257474481,4.073668263,3.004255698,3.004255698,4.073668263,4.073668263,1.593218818,4.073668263
55708,TRUE,FALSE,2.560640384,1.651367648,1.398148865,1.934843132,3.63005295,3.63005295,0.430727299,1.556877364,4.073668263,4.073668263,1.593218818,0,3.004255698,3.004255698,3.004255698,0.78991305
55714,TRUE,FALSE,0.291017,-0.139710299,1.754617985,0.967421566,1.651367648,2.801543805,1.398148865,0.712943446,4.073668263,4.073668263,2.023946117,3.004255698,3.63005295,2.188061915,1.651367648,2.188061915
55715,FALSE,TRUE,1.195436973,0.967421566,1.398148865,1.249637713,3.004255698,2.467561431,0.967421566,1.934843132,3.004255698,2.036834132,0.967421566,3.004255698,4.073668263,2.023946117,2.188061915,2.467561431
55716,FALSE,FALSE,0.712943446,2.62628993,2.62628993,2.176544431,4.073668263,3.63005295,3.257474481,2.801543805,4.073668263,3.63005295,3.63005295,2.801543805,3.63005295,3.257474481,3.63005295,4.073668263
55718,TRUE,TRUE,2.801543805,2.023946117,1.162491519,-0.536694267,2.467561431,3.257474481,1.220640349,0.78991305,3.257474481,3.004255698,2.467561431,1.069412566,4.073668263,3.004255698,1.162491519,0.625797252
55720,TRUE,TRUE,1.398148865,2.188061915,2.801543805,1.398148865,4.073668263,4.073668263,3.257474481,3.004255698,4.073668263,4.073668263,3.004255698,2.560640384,4.073668263,4.073668263,3.004255698,4.073668263
55722,FALSE,FALSE,1.398148865,1.651367648,2.188061915,1.220640349,4.073668263,2.023946117,0.78991305,2.188061915,3.004255698,4.073668263,2.188061915,2.467561431,4.073668263,4.073668263,1.606106832,2.467561431
55724,TRUE,FALSE,2.036834132,2.801543805,1.249637713,1.107131865,3.257474481,3.63005295,2.023946117,3.63005295,4.073668263,3.63005295,3.63005295,3.63005295,4.073668263,3.63005295,2.467561431,3.004255698
55726,TRUE,FALSE,1.107131865,0.282216147,0.861454599,1.220640349,1.220640349,0.536694267,0.967421566,0.764709674,1.651367648,1.398148865,1.934843132,0.764709674,4.073668263,2.023946117,2.560640384,2.467561431
55728,TRUE,TRUE,3.004255698,1.73213124,1.651367648,2.467561431,3.63005295,4.073668263,0.764709674,1.220640349,3.257474481,3.63005295,1.162491519,1.162491519,4.073668263,4.073668263,1.606106832,1.162491519
55753,TRUE,FALSE,1.606106832,1.593218818,0.764709674,0.589455798,4.073668263,4.073668263,1.162491519,0.536694267,4.073668263,4.073668263,1.651367648,3.257474481,4.073668263,3.63005295,1.162491519,1.593218818
55754,TRUE,FALSE,0.148511152,0.967421566,2.801543805,0.861454599,2.023946117,0.282216147,2.801543805,2.467561431,3.63005295,2.62628993,0.536694267,1.195436973,3.257474481,3.63005295,1.651367648,3.63005295
55755,TRUE,FALSE,1.398148865,2.560640384,0.430727299,1.020183097,3.004255698,4.073668263,1.934843132,1.195436973,2.560640384,3.004255698,2.023946117,2.560640384,4.073668263,4.073668263,2.467561431,1.606106832
55756,TRUE,FALSE,0.589455798,0.536694267,-1.606106832,0.333982374,0.967421566,0.861454599,0.282216147,0.139710299,1.195436973,1.020183097,0.536694267,0.536694267,1.398148865,1.398148865,-0.291017,0.430727299
55760,TRUE,FALSE,0.625797252,0.78991305,1.651367648,2.560640384,4.073668263,4.073668263,3.257474481,4.073668263,4.073668263,3.63005295,2.023946117,2.036834132,4.073668263,4.073668263,2.036834132,2.036834132
55761,TRUE,TRUE,2.62628993,2.188061915,2.467561431,2.467561431,3.63005295,3.004255698,3.257474481,2.560640384,4.073668263,4.073668263,2.560640384,3.257474481,4.073668263,4.073668263,2.467561431,2.467561431
55762,TRUE,FALSE,0.282216147,0,-0.570437598,0.536694267,0.570437598,0.430727299,0.712943446,0.589455798,0.712943446,-1.249637713,0.764709674,0.158728499,0.158728499,1.195436973,0,0.139710299
55767,TRUE,FALSE,2.467561431,1.020183097,1.020183097,-0.827711267,2.62628993,1.897123833,2.801543805,1.195436973,2.188061915,1.249637713,1.651367648,1.398148865,2.62628993,2.467561431,1.934843132,2.560640384
